@relation jamesPattern1-weka.filters.unsupervised.attribute.Remove-R1

@attribute ' TYPE_ACC0' numeric
@attribute ' TYPE_ACC1' numeric
@attribute ' TYPE_ACC2' numeric
@attribute ' TYPE_MAG0' numeric
@attribute ' TYPE_MAG1' numeric
@attribute ' TYPE_MAG2' numeric
@attribute ' TYPE_GYRO0' numeric
@attribute ' TYPE_GYRO1' numeric
@attribute ' TYPE_GYRO2' numeric
@attribute ' TYPE_ROTATION0' numeric
@attribute ' TYPE_ROTATION1' numeric
@attribute ' TYPE_ROTATION2' numeric
@attribute ' TYPE_LINEAR0' numeric
@attribute ' TYPE_LINEAR1' numeric
@attribute ' TYPE_LINEAR2' numeric
@attribute ' TYPE_GRAVITY0' numeric
@attribute ' TYPE_GRAVITY1' numeric
@attribute ' TYPE_GRAVITY2' numeric
@attribute ' position_x' numeric
@attribute ' position_y' numeric
@attribute ' velocity_x' numeric
@attribute ' velocity_y' numeric
@attribute ' pressure' numeric
@attribute ' size' numeric
@attribute ' mCurrentPattern' {'[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]'}
@attribute ' Counter' numeric
@attribute Name {James}
@attribute Pattern {A,B,C,D}

@data
-1.477219,5.403702,8.04451,-1.477219,5.403702,8.04451,-1.477219,5.403702,8.04451,-1.477219,5.403702,8.04451,-1.477219,5.403702,8.04451,-1.477219,5.403702,8.04451,755,178,0,0,0.525,0.007843,'[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]',35,James,A
-1.529892,5.556931,8.082825,32.014465,-8.7677,-22.763062,32.014465,-8.7677,-22.763062,32.014465,-8.7677,-22.763062,32.014465,-8.7677,-22.763062,32.014465,-8.7677,-22.763062,356,687,0,0,0.45,0.011765,'[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]',35,James,A
-1.529892,5.556931,8.082825,32.014465,-8.7677,-22.763062,32.014465,-8.7677,-22.763062,32.014465,-8.7677,-22.763062,32.014465,-8.7677,-22.763062,32.014465,-8.7677,-22.763062,356,687,0,0,0.45,0.011765,'[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]',35,James,A
-1.544251,5.49469,8.207321,-1.544251,5.49469,8.207321,0.086288,0.04686,-0.023438,0.179993,0.238693,0.580795,0.179993,0.238693,0.580795,0.179993,0.238693,0.580795,734.5869,1026.8411,2125.6038,1471.9236,0.45,0.011765,'[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]',35,James,A
-1.405396,5.116394,8.508987,-1.405396,5.116394,8.508987,-0.044724,-0.02449,0.005325,-0.044724,-0.02449,0.005325,-0.044724,-0.02449,0.005325,-0.044724,-0.02449,0.005325,1101.1532,807.1051,1179.4298,-4319.687,0.45,0.015686,'[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]',35,James,A
-1.831558,5.619186,7.785934,31.144714,-8.59375,-21.26007,31.144714,-8.59375,-21.26007,31.144714,-8.59375,-21.26007,31.144714,-8.59375,-21.26007,31.144714,-8.59375,-21.26007,876.44556,286.87128,-2297.901,-1958.2556,0.45,0.019608,'[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]',35,James,A
-1.180328,5.283997,8.662216,-1.180328,5.283997,8.662216,-1.180328,5.283997,8.662216,-1.180328,5.283997,8.662216,0.302414,-0.121643,0.615601,0.302414,-0.121643,0.615601,745.5,207,0,0,0.45,0.003922,'[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]',36,James,A
-1.601715,5.556931,7.805084,-1.601715,5.556931,7.805084,0.055405,-0.009583,0.026611,0.055405,-0.009583,0.026611,0.055405,-0.009583,0.026611,0.055405,-0.009583,0.026611,306,687,0,0,0.4,0.015686,'[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]',36,James,A
-1.601715,5.556931,7.805084,-1.601715,5.556931,7.805084,0.055405,-0.009583,0.026611,0.055405,-0.009583,0.026611,0.055405,-0.009583,0.026611,0.055405,-0.009583,0.026611,306,687,0,0,0.4,0.015686,'[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]',36,James,A
-1.620865,5.528198,8.078033,-1.620865,5.528198,8.078033,0.12677,0.042603,-0.040482,0.12677,0.042603,-0.040482,0.12677,0.042603,-0.040482,0.12677,0.042603,-0.040482,668.8669,1068.3446,3256.7026,1718.3243,0.4,0.015686,'[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]',36,James,A
