@relation jamesPattern1_Mean_SD

@attribute ' Counter' numeric
@attribute Name {James}
@attribute Pattern {A,B,C,D}
@attribute ' TYPE_ACC0_MEAN' numeric
@attribute ' TYPE_ACC1_MEAN' numeric
@attribute ' TYPE_ACC2_MEAN' numeric
@attribute ' TYPE_MAG0_MEAN' numeric
@attribute ' TYPE_MAG1_MEAN' numeric
@attribute ' TYPE_MAG2_MEAN' numeric
@attribute ' TYPE_GYRO0_MEAN' numeric
@attribute ' TYPE_GYRO1_MEAN' numeric
@attribute ' TYPE_GYRO2_MEAN' numeric
@attribute ' TYPE_ROTATION0_MEAN' numeric
@attribute ' TYPE_ROTATION1_MEAN' numeric
@attribute ' TYPE_ROTATION2_MEAN' numeric
@attribute ' TYPE_LINEAR0_MEAN' numeric
@attribute ' TYPE_LINEAR1_MEAN' numeric
@attribute ' TYPE_LINEAR2_MEAN' numeric
@attribute ' TYPE_GRAVITY0_MEAN' numeric
@attribute ' TYPE_GRAVITY1_MEAN' numeric
@attribute ' TYPE_GRAVITY2_MEAN' numeric
@attribute ' velocity_x_MEAN' numeric
@attribute ' velocity_y_MEAN' numeric
@attribute pressure_MEAN numeric
@attribute size_MEAN numeric
@attribute ' TYPE_ACC0_SD' numeric
@attribute ' TYPE_ACC1_SD' numeric
@attribute ' TYPE_ACC2_SD' numeric
@attribute ' TYPE_MAG0_SD' numeric
@attribute ' TYPE_MAG1_SD' numeric
@attribute ' TYPE_MAG2_SD' numeric
@attribute ' TYPE_GYRO0_SD' numeric
@attribute ' TYPE_GYRO1_SD' numeric
@attribute ' TYPE_GYRO2_SD' numeric
@attribute ' TYPE_ROTATION0_SD' numeric
@attribute ' TYPE_ROTATION1_SD' numeric
@attribute ' TYPE_ROTATION2_SD' numeric
@attribute ' TYPE_LINEAR0_SD' numeric
@attribute ' TYPE_LINEAR1_SD' numeric
@attribute ' TYPE_LINEAR2_SD' numeric
@attribute ' TYPE_GRAVITY0_SD' numeric
@attribute ' TYPE_GRAVITY1_SD' numeric
@attribute ' TYPE_GRAVITY2_SD' numeric
@attribute ' velocity_x_SD' numeric
@attribute ' velocity_y_SD' numeric
@attribute ' pressure_SD' numeric
@attribute ' size_SD' numeric

@data
0,James,A,-0.939957,5.516715,8.111542,-0.939957,5.516715,8.111542,-0.783902,4.465024,6.457297,-0.783902,4.465024,6.457297,-0.783902,4.465024,6.457297,-0.783902,4.465024,6.457297,434.45724,-498.49166,0.5225,0.013333,0.218135,0.185721,0.214438,0.218135,0.185721,0.214438,0.493661,2.500434,3.645949,0.493661,2.500434,3.645949,0.493661,2.500434,3.645949,0.493661,2.500434,3.645949,1592.859711,1866.606801,0.15747,0.005947
1,James,A,-1.263334,5.631157,8.09878,15.901945,-3.703384,-5.609352,15.901945,-3.703384,-5.609352,16.136541,-4.591024,-6.820345,16.136541,-4.591024,-6.820345,16.136541,-4.591024,-6.820345,492.989067,-295.667833,0.4375,0.012418,0.079879,0.117593,0.260689,18.735469,10.191345,15.075741,18.735469,10.191345,15.075741,18.485216,9.425113,14.028444,18.485216,9.425113,14.028444,18.485216,9.425113,14.028444,1240.560061,1403.021157,0.091856,0.005212
2,James,A,-1.286476,5.752462,8.046903,-1.286476,5.752462,8.046903,-1.030355,4.748517,6.70713,-0.832723,3.896955,5.439128,-0.832723,3.896955,5.439128,-0.832723,3.896955,5.439128,341.7732,-712.038167,0.620833,0.016993,0.249705,0.227183,0.12401,0.249705,0.227183,0.12401,0.494475,2.398122,3.268826,0.701252,2.975059,3.957884,0.701252,2.975059,3.957884,0.701252,2.975059,3.957884,1355.461133,1806.37947,0.071443,0.005358
3,James,A,-0.911382,5.479523,8.276746,-0.911382,5.479523,8.276746,-0.75662,4.587351,6.901609,-0.238139,1.937014,2.974508,-0.238139,1.937014,2.974508,-0.238139,1.937014,2.974508,336.278633,-625.272533,0.61875,0.013725,0.462783,0.310228,0.432346,0.462783,0.310228,0.432346,0.559567,2.209212,3.350341,0.672296,2.698693,3.832322,0.672296,2.698693,3.832322,0.672296,2.698693,3.832322,1519.144441,2072.847658,0.015309,0.004113
4,James,A,-1.114093,5.264043,8.439555,4.632749,2.655044,3.272868,4.632749,2.655044,3.272868,4.632749,2.655044,3.272868,4.632749,2.655044,3.272868,4.632749,2.655044,3.272868,194.46195,-391.55705,0.5125,0.015686,0.511632,0.358827,0.261408,14.105259,6.286953,12.593788,14.105259,6.286953,12.593788,14.105259,6.286953,12.593788,14.105259,6.286953,12.593788,14.105259,6.286953,12.593788,1429.787088,1861.297157,0.137614,0.003508
5,James,A,-1.177142,5.55853,8.1315,-1.177142,5.55853,8.1315,-0.213071,0.895877,1.424617,-0.213071,0.895877,1.424617,-0.213071,0.895877,1.424617,-0.213071,0.895877,1.424617,472.015833,-477.823417,0.416667,0.008497,0.230736,0.303909,0.315664,0.230736,0.303909,0.315664,0.670728,2.302147,3.519956,0.670728,2.302147,3.519956,0.670728,2.302147,3.519956,0.670728,2.302147,3.519956,2032.409075,2386.976039,0.15923,0.003856
6,James,A,-1.359901,5.600032,8.201729,-1.359901,5.600032,8.201729,-1.359901,5.600032,8.201729,-1.359901,5.600032,8.201729,-0.739627,2.842288,4.195231,-0.739627,2.842288,4.195231,355.622283,-442.4254,0.435417,0.011111,0.240586,0.231498,0.251898,0.240586,0.231498,0.251898,0.240586,0.231498,0.251898,0.240586,0.231498,0.251898,0.630806,3.00373,4.387579,0.630806,3.00373,4.387579,1529.507063,1490.328341,0.143051,0.003856
7,James,A,-1.160383,5.482712,8.273555,-1.160383,5.482712,8.273555,-0.347933,1.732315,2.770966,-0.286466,1.86821,3.083288,-0.286466,1.86821,3.083288,-0.286466,1.86821,3.083288,382.911617,-372.520417,0.441667,0.00915,0.195032,0.307749,0.152248,0.195032,0.307749,0.152248,0.600152,2.73365,4.294483,0.651867,2.630313,4.058958,0.651867,2.630313,4.058958,0.651867,2.630313,4.058958,1631.306,1748.7471,0.166521,0.005904
8,James,A,-1.252958,5.495483,8.196945,-1.252958,5.495483,8.196945,-1.068011,4.631658,6.892103,-1.052366,4.677851,6.995967,-1.052366,4.677851,6.995967,-1.052366,4.677851,6.995967,307.182617,-475.126283,0.5875,0.015033,0.214599,0.190894,0.20796,0.214599,0.190894,0.20796,0.59469,2.291258,3.382467,0.631275,2.178177,3.128162,0.631275,2.178177,3.128162,0.631275,2.178177,3.128162,1583.255822,1753.833078,0.030619,0.001601
9,James,A,-1.198687,5.472336,8.325432,-1.198687,5.472336,8.325432,-0.120166,0.851926,1.408936,-0.120166,0.851926,1.408936,0.081393,-0.049985,0.060875,0.081393,-0.049985,0.060875,333.738433,-636.465483,0.470833,0.011765,0.284766,0.181094,0.177638,0.284766,0.181094,0.177638,0.356064,2.115485,3.440823,0.356064,2.115485,3.440823,0.177255,0.105421,0.140084,0.177255,0.105421,0.140084,1759.361219,1865.518884,0.051031,0.003508
