@relation mattPattern1_Mean_SD

@attribute ' Counter' numeric
@attribute Name {Matt}
@attribute Pattern {A}
@attribute ' TYPE_ACC0_MEAN' numeric
@attribute ' TYPE_ACC1_MEAN' numeric
@attribute ' TYPE_ACC2_MEAN' numeric
@attribute ' TYPE_MAG0_MEAN' numeric
@attribute ' TYPE_MAG1_MEAN' numeric
@attribute ' TYPE_MAG2_MEAN' numeric
@attribute ' TYPE_GYRO0_MEAN' numeric
@attribute ' TYPE_GYRO1_MEAN' numeric
@attribute ' TYPE_GYRO2_MEAN' numeric
@attribute ' TYPE_ROTATION0_MEAN' numeric
@attribute ' TYPE_ROTATION1_MEAN' numeric
@attribute ' TYPE_ROTATION2_MEAN' numeric
@attribute ' TYPE_LINEAR0_MEAN' numeric
@attribute ' TYPE_LINEAR1_MEAN' numeric
@attribute ' TYPE_LINEAR2_MEAN' numeric
@attribute ' TYPE_GRAVITY0_MEAN' numeric
@attribute ' TYPE_GRAVITY1_MEAN' numeric
@attribute ' TYPE_GRAVITY2_MEAN' numeric
@attribute velocity_x_MEAN numeric
@attribute velocity_y_MEAN numeric
@attribute pressure_MEAN numeric
@attribute size_MEAN numeric
@attribute ' TYPE_ACC0_SD' numeric
@attribute ' TYPE_ACC1_SD' numeric
@attribute ' TYPE_ACC2_SD' numeric
@attribute ' TYPE_MAG0_SD' numeric
@attribute ' TYPE_MAG1_SD' numeric
@attribute ' TYPE_MAG2_SD' numeric
@attribute ' TYPE_GYRO0_SD' numeric
@attribute ' TYPE_GYRO1_SD' numeric
@attribute ' TYPE_GYRO2_SD' numeric
@attribute ' TYPE_ROTATION0_SD' numeric
@attribute ' TYPE_ROTATION1_SD' numeric
@attribute ' TYPE_ROTATION2_SD' numeric
@attribute ' TYPE_LINEAR0_SD' numeric
@attribute ' TYPE_LINEAR1_SD' numeric
@attribute ' TYPE_LINEAR2_SD' numeric
@attribute ' TYPE_GRAVITY0_SD' numeric
@attribute ' TYPE_GRAVITY1_SD' numeric
@attribute ' TYPE_GRAVITY2_SD' numeric
@attribute ' velocity_x_SD' numeric
@attribute ' velocity_y_SD' numeric
@attribute ' pressure_SD' numeric
@attribute ' size_SD' numeric

@data
0,Matt,A,-0.611954,6.558191,7.309012,-0.611954,6.558191,7.309012,-0.611954,6.558191,7.309012,-0.176703,2.716498,2.648697,-0.176703,2.716498,2.648697,-0.176703,2.716498,2.648697,397.95224,-256.13834,0.675,0.017255,0.510858,0.496467,0.658618,0.510858,0.496467,0.658618,0.510858,0.496467,0.658618,0.747471,3.85069,4.085609,0.747471,3.85069,4.085609,0.747471,3.85069,4.085609,1861.152604,1857.453527,0,0.003508
1,Matt,A,-0.588966,6.753235,7.011012,-2.1757,4.478396,5.482696,-2.1757,4.478396,5.482696,-1.949142,2.21903,2.923538,-1.949142,2.21903,2.923538,-1.949142,2.21903,2.923538,134.437233,-544.1598,0.497917,0.012418,0.59703,0.558832,0.649468,3.927636,5.663583,3.909258,3.927636,5.663583,3.909258,4.062128,5.713721,4.495843,4.062128,5.713721,4.495843,4.062128,5.713721,4.495843,1865.329253,1833.73362,0.180523,0.007195
2,Matt,A,-1.692696,7.421216,6.678218,-2.576602,1.07828,3.869817,-1.934489,-0.143862,2.855181,-1.661845,-1.370633,1.629903,-1.332967,-2.56429,0.562963,-1.332967,-2.56429,0.562963,230.144817,9.861567,0.797917,0.020915,1.14292,0.287356,0.466744,1.790742,9.650407,4.483792,1.979307,9.103908,4.609336,2.18569,8.386895,4.314229,2.352073,7.416408,3.293037,2.352073,7.416408,3.293037,1566.650173,2055.459435,0.169081,0.005904
3,Matt,A,-2.928098,7.277568,5.817106,-2.953242,4.025543,4.81175,-2.953242,4.025543,4.81175,-2.953242,4.025543,4.81175,-2.953242,4.025543,4.81175,-2.953242,4.025543,4.81175,199.085617,-520.356733,0.90625,0.023529,0.655537,0.513617,1.162852,0.636897,8.239982,2.050076,0.636897,8.239982,2.050076,0.636897,8.239982,2.050076,0.636897,8.239982,2.050076,0.636897,8.239982,2.050076,2052.026599,2016.100064,0.150779,0.007441
4,Matt,A,-3.134005,7.078051,5.741287,-3.134005,7.078051,5.741287,-2.55071,6.061582,4.562963,-2.55071,6.061582,4.562963,-2.55071,6.061582,4.562963,-2.55071,6.061582,4.562963,-75.290933,-531.859517,0.858333,0.024183,0.650363,0.314151,1.028453,0.650363,0.314151,1.028453,1.615084,2.728495,2.4418,1.615084,2.728495,2.4418,1.615084,2.728495,2.4418,1.615084,2.728495,2.4418,1961.770856,1416.204611,0.26347,0.010929
5,Matt,A,-3.249723,7.009415,5.402911,-3.249723,7.009415,5.402911,-3.249723,7.009415,5.402911,-3.249723,7.009415,5.402911,-3.249723,7.009415,5.402911,-3.249723,7.009415,5.402911,-76.206583,-554.99965,0.76875,0.020915,0.856131,0.187485,0.933537,0.856131,0.187485,0.933537,0.856131,0.187485,0.933537,0.856131,0.187485,0.933537,0.856131,0.187485,0.933537,0.856131,0.187485,0.933537,2297.474323,1419.261755,0.191825,0.007302
6,Matt,A,-3.104474,7.426806,5.35582,-3.104474,7.426806,5.35582,-3.104474,7.426806,5.35582,-3.104474,7.426806,5.35582,-1.935509,4.992449,3.51384,-1.935509,4.992449,3.51384,199.409533,-492.656267,0.73125,0.020261,1.019668,0.467088,1.206322,1.019668,0.467088,1.206322,1.019668,0.467088,1.206322,1.019668,0.467088,1.206322,1.99697,3.873023,3.103212,1.99697,3.873023,3.103212,1545.176855,1500.020887,0.204596,0.005212
7,Matt,A,-2.994339,7.276769,5.598432,-2.994339,7.276769,5.598432,-1.920415,4.940593,3.675763,-1.920415,4.940593,3.675763,-1.920415,4.940593,3.675763,-1.920415,4.940593,3.675763,306.074,-514.449367,0.85625,0.022876,0.76379,0.253116,0.542336,0.76379,0.253116,0.542336,1.825036,3.754101,2.976648,1.825036,3.754101,2.976648,1.825036,3.754101,2.976648,1.825036,3.754101,2.976648,1451.060008,1694.377772,0.239237,0.010049
8,Matt,A,-2.743749,6.959938,6.056524,-0.466746,-1.014432,5.165853,-0.466746,-1.014432,5.165853,0.101669,-2.25857,4.261637,0.101669,-2.25857,4.261637,0.101669,-2.25857,4.261637,194.844683,-293.122867,0.983333,0.026797,1.109221,0.308157,0.975457,3.629951,12.344698,1.848426,3.629951,12.344698,1.848426,3.380453,11.72862,3.109887,3.380453,11.72862,3.109887,3.380453,11.72862,3.109887,1508.676742,1214.693941,0.172059,0.009085
9,Matt,A,-3.532237,7.543325,5.153114,-3.532237,7.543325,5.153114,-3.532237,7.543325,5.153114,-3.532237,7.543325,5.153114,-3.069186,6.357524,4.128026,-3.069186,6.357524,4.128026,441.864917,-481.9364,0.741667,0.020261,1.024851,0.468359,0.768879,1.024851,0.468359,0.768879,1.024851,0.468359,0.768879,1.024851,0.468359,0.768879,1.992166,3.302901,2.142198,1.992166,3.302901,2.142198,1542.61494,2042.64831,0.244523,0.010351
